,Track Name,Artist Name,Album,Album Release Date,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time Signature,Artist Popularity,Track Popularity,Track URI,Artist URI
0,act ii: date @ 8 (feat. Drake) - remix,4batz,act ii: date @ 8 (feat. Drake) [remix],2024-03-08,,0.55,0.545,0,-9.304,1,0.163,0.318,0.0,0.0608,0.412,102.469,231339,4,74,86,spotify:track:3QS9ZCtoSCJhmaJ7QNXSAS,spotify:artist:5fi7lIgJGH3RgUpJYcffQ7
1,LEAP!,Souly Had,LEAP!,2020-10-02,,0.892,0.585,11,-7.269,1,0.102,0.146,3.97e-06,0.0881,0.244,104.011,205385,4,50,38,spotify:track:3vl2uH4D2QItFFhzz5L06g,spotify:artist:20WmX0l9JgOpehDOAXY6iO
2,Overdrive,Conan Gray,Overdrive,2021-02-19,"bedroom pop, pop, pov: indie",0.568,0.788,5,-6.28,1,0.0377,0.0101,0.0,0.141,0.46,104.959,183070,4,80,66,spotify:track:3QyoC6OvQUmpQwQZ18iaTs,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea
3,Raise y_our glass,HUH YUNJIN,Raise y_our glass,2022-08-09,,0.567,0.503,8,-6.119,1,0.124,0.581,0.0,0.369,0.184,72.798,212164,4,69,59,spotify:track:7j1vFohEm1lbsctYY9gyGd,spotify:artist:13yWtUnz63q5VIs5SwoMhy
4,In My Mind,Lyn Lapid,In My Mind,2021-08-20,gen z singer-songwriter,0.668,0.392,2,-12.178,0,0.0585,0.789,0.00275,0.345,0.323,135.936,162794,3,62,72,spotify:track:2W779g2UrRZtVdf3FcEOO1,spotify:artist:4pfy05cNNTacuOQ6SiSu4v
5,Fall In Love Alone,Stacey Ryan,Fall In Love Alone,2022-05-13,,0.676,0.625,7,-5.455,0,0.0711,0.316,0.000119,0.127,0.522,171.883,205428,4,57,73,spotify:track:5xwBIieMMFUmLDgvG4DjFe,spotify:artist:3sXwEUqxSzb11VpuFa5cvJ
6,deja vu,Olivia Rodrigo,SOUR,2021-05-21,pop,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,4,90,86,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,spotify:artist:1McMsnEElThX1knmY4oliG
7,poster boy,Lyn Lapid,poster boy,2023-04-14,gen z singer-songwriter,0.539,0.709,1,-6.687,1,0.0321,0.154,0.0666,0.161,0.41,163.944,166303,4,62,51,spotify:track:2TaCG1ArsxRsUyZhqy5jei,spotify:artist:4pfy05cNNTacuOQ6SiSu4v
8,I ≠ DOLL,HUH YUNJIN,I ≠ DOLL,2023-01-09,,0.618,0.787,7,-5.456,1,0.0621,0.00289,0.0,0.146,0.389,159.996,150270,4,69,63,spotify:track:1d6xaY4JvvqTWfgCeJAtWa,spotify:artist:13yWtUnz63q5VIs5SwoMhy
9,Seven (feat. Latto),Jung Kook,Seven (feat. Latto),2023-07-14,k-pop,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,185427,4,86,84,spotify:track:7x9aauaA9cu6tyfpHnqDLo,spotify:artist:6HaGTQPmzraVmaVxvz6EUc
10,Glue Song,beabadoobee,Glue Song,2023-02-14,"bedroom pop, bubblegrunge, indie pop, pov: indie",0.62,0.409,1,-10.146,1,0.0282,0.77,0.0542,0.105,0.582,113.946,135067,3,77,80,spotify:track:3iBgrkexCzVuPy4O9vx7Mf,spotify:artist:35l9BRT7MXmM8bv2WDQiyB
11,UNDERSTAND,keshi,GABRIEL,2022-03-25,chill r&b,0.379,0.208,5,-13.858,1,0.0426,0.94,1.05e-06,0.114,0.163,82.085,150520,3,73,78,spotify:track:72sfmdpuO5r8cBDgs7MqZZ,spotify:artist:3pc0bOVB5whxmD50W79wwO
12,I Want That,(G)I-DLE,HEAT,2023-10-04,k-pop girl group,0.8,0.87,0,-5.787,0,0.0832,0.0693,0.000584,0.0742,0.434,120.06,171667,4,77,61,spotify:track:3F2BLyGt6zYLrHYpbdTw5L,spotify:artist:2AfmfGFbe0A0WsTYm0SDTx
13,Memories,Conan Gray,Superache,2022-06-24,"bedroom pop, pop, pov: indie",0.34,0.684,11,-6.306,1,0.044,0.00979,0.0,0.348,0.556,112.969,248819,4,80,79,spotify:track:5UXJzLFdBn6u9FJTCnoHrH,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea
14,light,wave to earth,light,2019-11-18,korean city pop,0.419,0.621,11,-6.901,1,0.0305,0.252,0.0367,0.125,0.727,79.692,225950,4,74,73,spotify:track:4i2T7Nm4Q72sNnSlGADSm6,spotify:artist:5069JTmv5ZDyPeZaCCXiCg
15,Tired,beabadoobee,Patched Up,2018-12-07,"bedroom pop, bubblegrunge, indie pop, pov: indie",0.63,0.418,7,-7.111,0,0.0254,0.483,0.15,0.111,0.345,140.037,199515,4,77,72,spotify:track:6F5mZpEEjhsAW8UEqbIpz1,spotify:artist:35l9BRT7MXmM8bv2WDQiyB
16,Blue Butterflies,JHIN,Blue Butterflies,2023-08-25,bedroom r&b,0.74,0.559,1,-7.291,0,0.0314,0.599,0.0,0.309,0.689,92.956,137903,4,52,69,spotify:track:1FpQ2EPJarW7rpjFGGd8Jd,spotify:artist:1zbZa82fOkxnWd44o2uV6c
17,Moral of the Story,Ashe,Ashlyn,2021-05-07,alt z,0.569,0.403,10,-8.618,1,0.0439,0.593,4.49e-06,0.102,0.269,119.819,201017,4,69,78,spotify:track:69HzZ3ti9DLwb0GdWCGYSo,spotify:artist:6P5NO5hzJbuOqSdyPB7SJM
18,seasons,wave to earth,summer flows 0.02,2020-08-04,korean city pop,0.372,0.273,7,-10.629,1,0.0268,0.782,0.0463,0.219,0.165,60.038,255999,4,74,81,spotify:track:5VBjyOQzqlPNgdRPMM6prF,spotify:artist:5069JTmv5ZDyPeZaCCXiCg
19,Bewitched,Laufey,Bewitched,2023-09-08,gen z singer-songwriter,0.283,0.195,1,-12.154,1,0.0331,0.947,8.28e-05,0.111,0.319,138.953,246693,3,80,69,spotify:track:0pfpeTGQOWlGp6YUUbBD42,spotify:artist:7gW0r5CkdEUMm42w9XpyZO
20,"jealousy, jealousy",Olivia Rodrigo,SOUR,2021-05-21,pop,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,173160,4,90,84,spotify:track:0MMyJUC3WNnFS1lit5pTjk,spotify:artist:1McMsnEElThX1knmY4oliG
21,Steal The Show,SHAUN,Steal The Show,2023-02-23,k-pop,0.709,0.629,9,-4.278,0,0.0292,0.0251,5.92e-05,0.25,0.688,91.992,180640,4,58,53,spotify:track:2xGRrcajSvRlBbAXds2l7u,spotify:artist:72nLe76yBFSlP6VBzME358
22,You & Me (Coachella ver.),JENNIE,JENNIE Special Single [You & Me],2023-10-06,k-pop,0.748,0.668,9,-5.767,1,0.0531,0.00526,7.37e-06,0.278,0.539,111.919,179865,4,79,66,spotify:track:1Z3sBD8yUSLUVt16mMdaVj,spotify:artist:250b0Wlc5Vk0CoUsaCY84M
23,Wings,So!YoON!,Wings,2020-10-20,korean indie rock,0.66,0.488,6,-8.188,1,0.025,0.172,0.0,0.065,0.543,100.024,195573,4,52,59,spotify:track:4XQnhcwRPRmGG4E6PakLMb,spotify:artist:7H5EC2qaylGun66YeRrVHg
24,daisy.,wave to earth,daisy.,2015-05-13,korean city pop,0.443,0.577,6,-5.602,0,0.0322,0.361,8.44e-06,0.309,0.656,202.057,218500,4,74,67,spotify:track:6vBr2tIHZKaMTpK7r99O3g,spotify:artist:5069JTmv5ZDyPeZaCCXiCg
25,IF I DON'T TEXT YOU FIRST,Tiffany Day,IF I DON'T TEXT YOU FIRST,2021-06-21,chill r&b,0.76,0.492,9,-6.802,1,0.0824,0.269,0.0,0.305,0.677,104.987,133547,4,47,60,spotify:track:2lNb0SzyOEHizMxlpT9HM6,spotify:artist:5D5Qbe1lf3aMnLsPSzXItu
26,Alonica,LANY,Alonica,2023-07-07,"la pop, opm",0.596,0.393,5,-9.624,1,0.0336,0.683,2.89e-06,0.128,0.345,127.852,238347,4,75,61,spotify:track:1T2gpycmBlJ0RkTcIe7f26,spotify:artist:49tQo2QULno7gxHutgccqF
27,I'm In Love With You,The 1975,Being Funny In A Foreign Language,2022-10-14,"modern alternative rock, modern rock, pop, pov: indie, rock",0.668,0.902,2,-3.924,1,0.0386,0.169,8.74e-05,0.198,0.913,119.008,262624,4,77,70,spotify:track:12g9IeQzX7xECLNxz8dpb5,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW
28,Tip Toe,HYBS,Tip Toe,2023-06-20,,0.687,0.486,11,-8.673,1,0.0579,0.587,0.126,0.115,0.792,163.9,224726,4,69,83,spotify:track:0MJ5wKsPEeihONNfugHGy7,spotify:artist:4mr4X9nJC8DPlNukWbgAaI
29,solo,JUNNY,nostalgia,2021-12-27,korean r&b,0.626,0.584,0,-6.913,1,0.102,0.782,0.0,0.208,0.408,102.045,183360,4,57,48,spotify:track:28WoBIA4EDVvxiraTv2KZ2,spotify:artist:0lgENJQUkqkDbpsTYEayOr
