Track Name,Album Release Decade,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Artist Popularity,Track URI,Track Popularity
act ii: date @ 8 (feat. Drake) - remix,20s,,0.55,0.545,0.0,-9.304,1.0,0.163,0.318,0.0,0.0608,0.412,102.469,4.0,74,spotify:track:3QS9ZCtoSCJhmaJ7QNXSAS,86
LEAP!,20s,,0.892,0.585,11.0,-7.269,1.0,0.102,0.146,3.97e-06,0.0881,0.244,104.011,4.0,50,spotify:track:3vl2uH4D2QItFFhzz5L06g,38
Overdrive,20s,"bedroom pop, pop, pov: indie",0.568,0.788,5.0,-6.28,1.0,0.0377,0.0101,0.0,0.141,0.46,104.959,4.0,81,spotify:track:3QyoC6OvQUmpQwQZ18iaTs,66
Raise y_our glass,20s,,0.567,0.503,8.0,-6.119,1.0,0.124,0.581,0.0,0.369,0.184,72.798,4.0,69,spotify:track:7j1vFohEm1lbsctYY9gyGd,59
In My Mind,20s,gen z singer-songwriter,0.668,0.392,2.0,-12.178,0.0,0.0585,0.789,0.00275,0.345,0.323,135.936,3.0,62,spotify:track:2W779g2UrRZtVdf3FcEOO1,72
Fall In Love Alone,20s,,0.676,0.625,7.0,-5.455,0.0,0.0711,0.316,0.000119,0.127,0.522,171.883,4.0,57,spotify:track:5xwBIieMMFUmLDgvG4DjFe,73
deja vu,20s,pop,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917,4.0,90,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,86
poster boy,20s,gen z singer-songwriter,0.539,0.709,1.0,-6.687,1.0,0.0321,0.154,0.0666,0.161,0.41,163.944,4.0,62,spotify:track:2TaCG1ArsxRsUyZhqy5jei,51
I ≠ DOLL,20s,,0.618,0.787,7.0,-5.456,1.0,0.0621,0.00289,0.0,0.146,0.389,159.996,4.0,69,spotify:track:1d6xaY4JvvqTWfgCeJAtWa,63
Seven (feat. Latto),20s,k-pop,0.802,0.832,11.0,-4.107,1.0,0.0434,0.311,0.0,0.0815,0.89,124.997,4.0,86,spotify:track:7x9aauaA9cu6tyfpHnqDLo,84
Glue Song,20s,"bedroom pop, bubblegrunge, indie pop, pov: indie",0.62,0.409,1.0,-10.146,1.0,0.0282,0.77,0.0542,0.105,0.582,113.946,3.0,77,spotify:track:3iBgrkexCzVuPy4O9vx7Mf,80
UNDERSTAND,20s,chill r&b,0.379,0.208,5.0,-13.858,1.0,0.0426,0.94,1.05e-06,0.114,0.163,82.085,3.0,73,spotify:track:72sfmdpuO5r8cBDgs7MqZZ,78
I Want That,20s,k-pop girl group,0.8,0.87,0.0,-5.787,0.0,0.0832,0.0693,0.000584,0.0742,0.434,120.06,4.0,77,spotify:track:3F2BLyGt6zYLrHYpbdTw5L,61
Memories,20s,"bedroom pop, pop, pov: indie",0.34,0.684,11.0,-6.306,1.0,0.044,0.00979,0.0,0.348,0.556,112.969,4.0,81,spotify:track:5UXJzLFdBn6u9FJTCnoHrH,79
light,10s,korean city pop,0.419,0.621,11.0,-6.901,1.0,0.0305,0.252,0.0367,0.125,0.727,79.692,4.0,74,spotify:track:4i2T7Nm4Q72sNnSlGADSm6,73
Tired,10s,"bedroom pop, bubblegrunge, indie pop, pov: indie",0.63,0.418,7.0,-7.111,0.0,0.0254,0.483,0.15,0.111,0.345,140.037,4.0,77,spotify:track:6F5mZpEEjhsAW8UEqbIpz1,72
Blue Butterflies,20s,bedroom r&b,0.74,0.559,1.0,-7.291,0.0,0.0314,0.599,0.0,0.309,0.689,92.956,4.0,52,spotify:track:1FpQ2EPJarW7rpjFGGd8Jd,69
Moral of the Story,20s,alt z,0.569,0.403,10.0,-8.618,1.0,0.0439,0.593,4.49e-06,0.102,0.269,119.819,4.0,69,spotify:track:69HzZ3ti9DLwb0GdWCGYSo,78
seasons,20s,korean city pop,0.372,0.273,7.0,-10.629,1.0,0.0268,0.782,0.0463,0.219,0.165,60.038,4.0,74,spotify:track:5VBjyOQzqlPNgdRPMM6prF,81
Bewitched,20s,gen z singer-songwriter,0.283,0.195,1.0,-12.154,1.0,0.0331,0.947,8.28e-05,0.111,0.319,138.953,3.0,80,spotify:track:0pfpeTGQOWlGp6YUUbBD42,69
"jealousy, jealousy",20s,pop,0.695,0.575,10.0,-6.334,0.0,0.116,0.198,0.0,0.0614,0.699,163.929,4.0,90,spotify:track:0MMyJUC3WNnFS1lit5pTjk,84
Steal The Show,20s,k-pop,0.709,0.629,9.0,-4.278,0.0,0.0292,0.0251,5.92e-05,0.25,0.688,91.992,4.0,58,spotify:track:2xGRrcajSvRlBbAXds2l7u,53
You & Me (Coachella ver.),20s,k-pop,0.748,0.668,9.0,-5.767,1.0,0.0531,0.00526,7.37e-06,0.278,0.539,111.919,4.0,79,spotify:track:1Z3sBD8yUSLUVt16mMdaVj,67
Wings,20s,korean indie rock,0.66,0.488,6.0,-8.188,1.0,0.025,0.172,0.0,0.065,0.543,100.024,4.0,52,spotify:track:4XQnhcwRPRmGG4E6PakLMb,59
daisy.,10s,korean city pop,0.443,0.577,6.0,-5.602,0.0,0.0322,0.361,8.44e-06,0.309,0.656,202.057,4.0,74,spotify:track:6vBr2tIHZKaMTpK7r99O3g,67
IF I DON'T TEXT YOU FIRST,20s,chill r&b,0.76,0.492,9.0,-6.802,1.0,0.0824,0.269,0.0,0.305,0.677,104.987,4.0,47,spotify:track:2lNb0SzyOEHizMxlpT9HM6,60
Alonica,20s,"la pop, opm",0.596,0.393,5.0,-9.624,1.0,0.0336,0.683,2.89e-06,0.128,0.345,127.852,4.0,75,spotify:track:1T2gpycmBlJ0RkTcIe7f26,61
I'm In Love With You,20s,"modern alternative rock, modern rock, pop, pov: indie, rock",0.668,0.902,2.0,-3.924,1.0,0.0386,0.169,8.74e-05,0.198,0.913,119.008,4.0,77,spotify:track:12g9IeQzX7xECLNxz8dpb5,70
Tip Toe,20s,,0.687,0.486,11.0,-8.673,1.0,0.0579,0.587,0.126,0.115,0.792,163.9,4.0,69,spotify:track:0MJ5wKsPEeihONNfugHGy7,83
solo,20s,korean r&b,0.626,0.584,0.0,-6.913,1.0,0.102,0.782,0.0,0.208,0.408,102.045,4.0,57,spotify:track:28WoBIA4EDVvxiraTv2KZ2,48
