,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track Popularity Cat
0,0.332,0.423,-12.102,0.0384,0.261,0.00014,0.0716,0.519,236.799,0
1,0.397,0.286,-15.948,0.447,0.984,4.59e-05,0.106,0.0656,230.512,0
2,0.357,0.129,-10.855,0.0854,0.98,3.64e-06,0.0975,0.191,232.602,0
3,0.22,0.102,-22.205,0.043,0.869,0.965,0.103,0.0337,33.593,0
4,0.16,0.0744,-22.592,0.0408,0.933,0.761,0.0785,0.0761,35.341,0
5,0.189,0.16,-19.862,0.0427,0.927,0.421,0.111,0.0749,31.988,0
6,0.379,0.0497,-19.111,0.0392,0.978,0.268,0.0667,0.159,32.08,0
7,0.377,0.177,-19.727,0.0541,0.983,0.0,0.559,0.198,34.151,0
8,0.0757,0.0269,-35.299,0.0503,0.951,0.859,0.104,0.0366,182.191,0
9,0.107,0.0305,-30.122,0.0458,0.991,0.856,0.107,0.0423,211.243,0
10,0.391,0.00586,-40.869,0.0367,0.976,0.0158,0.115,0.328,113.168,0
11,0.352,0.0472,-28.284,0.05,0.986,0.934,0.128,0.252,201.249,0
12,0.626,0.624,-14.043,0.82,0.833,8.7e-06,0.909,0.284,32.451,0
13,0.456,0.00811,-40.576,0.0618,0.995,0.938,0.0571,0.354,113.532,0
14,0.252,0.0282,-35.083,0.0432,0.994,0.95,0.235,0.395,179.196,0
15,0.167,0.168,-20.745,0.0561,0.951,0.979,0.11,0.0816,210.805,0
16,0.42,0.000968,-42.691,0.0506,0.992,0.938,0.094,0.127,84.873,0
17,0.211,0.018,-28.088,0.0466,0.992,0.916,0.104,0.0678,202.511,0
18,0.118,0.0231,-31.51,0.039,0.963,0.943,0.107,0.0638,51.166,0
19,0.435,0.081,-31.776,0.0601,0.978,0.757,0.154,0.365,181.915,0
20,0.191,0.0017,-40.704,0.0488,0.816,0.0937,0.0988,0.0508,115.699,0
21,0.0812,0.00418,-39.071,0.0552,0.978,0.895,0.0943,0.0481,172.574,0
22,0.21,0.00752,-35.524,0.0432,0.993,0.858,0.115,0.0567,142.495,0
23,0.0615,0.00941,-30.214,0.046,0.799,0.826,0.0857,0.0398,47.511,0
24,0.225,0.0167,-30.761,0.0465,0.935,0.89,0.104,0.0466,51.144,0
25,0.398,0.0875,-22.926,0.0456,0.768,0.0,0.0789,0.418,205.614,0
26,0.41,0.102,-19.717,0.0437,0.989,0.0653,0.27,0.331,207.867,0
27,0.22,0.0479,-27.601,0.036,0.794,0.921,0.112,0.036,46.79,0
28,0.498,0.0628,-23.469,0.0511,0.972,0.929,0.094,0.0515,206.067,0
29,0.15,0.0259,-31.442,0.0459,0.921,0.959,0.108,0.223,157.334,0
30,0.246,0.0251,-29.797,0.0462,0.853,0.867,0.105,0.0317,50.498,0
31,0.131,0.03,-34.918,0.0469,0.974,0.971,0.056,0.0349,173.951,0
32,0.246,0.192,-21.564,0.0416,0.776,0.962,0.164,0.0356,46.03,0
33,0.484,0.0111,-36.334,0.0384,0.995,0.878,0.0556,0.2,121.708,0
34,0.175,0.0825,-31.241,0.0546,0.994,0.923,0.0918,0.154,157.776,0
35,0.0614,0.0317,-28.621,0.0415,0.952,0.573,0.118,0.0328,48.965,0
36,0.25,0.0217,-35.88,0.0538,0.993,0.874,0.0635,0.335,126.285,0
37,0.269,0.0488,-35.39,0.0464,0.985,0.906,0.103,0.123,125.793,0
38,0.276,0.345,-21.226,0.0557,0.843,0.888,0.0781,0.0567,207.212,0
39,0.333,0.00104,-41.129,0.0663,0.988,0.629,0.0589,0.0476,80.257,0
40,0.529,0.0086,-39.136,0.0487,0.973,0.0737,0.113,0.44,116.607,0
41,0.0739,0.0279,-32.005,0.0505,0.994,0.957,0.0931,0.0483,206.329,0
42,0.519,0.261,-21.53,0.909,0.714,0.0,0.467,0.394,46.818,0
43,0.252,0.00853,-35.556,0.0625,0.996,0.933,0.0935,0.0826,126.525,0
44,0.192,0.0093,-28.276,0.0393,0.981,0.838,0.103,0.0835,180.043,0
45,0.122,0.0161,-33.108,0.0476,0.952,0.934,0.0958,0.0362,148.561,0
46,0.0819,0.0448,-36.758,0.0384,0.995,0.938,0.0693,0.255,173.327,0
47,0.422,0.262,-22.221,0.61,0.896,0.000144,0.685,0.412,47.398,0
